train_loss,val_loss,train_accuracy,val_accuracy
1.006800,0.735243,0.710572,0.775932
0.674385,0.649164,0.786785,0.802002
0.626686,0.616439,0.800280,0.806952
0.602849,0.589953,0.805006,0.814212
0.582558,0.588457,0.811567,0.817512
0.565875,0.561860,0.815205,0.824442
0.562374,0.572992,0.814459,0.814322
0.547973,0.556639,0.821486,0.820812
0.534951,0.564482,0.822481,0.821362
0.537236,0.573164,0.823010,0.817732
0.526472,0.561983,0.829198,0.824662
0.524811,0.560156,0.829509,0.823452
0.526652,0.560163,0.826586,0.824442
0.209924,0.169662,0.933489,0.947971
0.069018,0.181767,0.978078,0.952590
0.044143,0.194717,0.985417,0.951271
0.033788,0.196341,0.989148,0.953250
0.025588,0.197341,0.991542,0.954790
0.024249,0.209375,0.992195,0.952810
