train_loss,val_loss,train_accuracy,val_accuracy
0.702153,0.554456,0.776306,0.828402
0.427742,0.538137,0.860292,0.836322
0.349743,0.479046,0.885168,0.849632
0.303384,0.465766,0.899471,0.856891
0.272301,0.485290,0.908364,0.860081
0.252785,0.488769,0.915019,0.851942
0.232289,0.489724,0.920211,0.860961
0.141508,0.378268,0.954820,0.889561
0.125041,0.370274,0.960075,0.890991
0.121383,0.375380,0.960044,0.888021
0.120420,0.376679,0.961909,0.891321
0.115701,0.371640,0.962500,0.891871
0.111394,0.363991,0.964801,0.892311
0.109502,0.372949,0.965516,0.892751
0.105382,0.366573,0.967910,0.893301
0.100307,0.362739,0.968843,0.895061
0.102261,0.365295,0.968563,0.893081
0.100098,0.360792,0.968657,0.890771
0.099349,0.364309,0.968688,0.893521
0.099704,0.371271,0.968688,0.894731
0.099590,0.338516,0.968315,0.902431
0.086311,0.341304,0.971611,0.903861
0.072843,0.339306,0.977488,0.903201
0.062970,0.329998,0.980659,0.909911
0.056625,0.326801,0.981592,0.909581
0.054539,0.335374,0.982805,0.906611
0.046548,0.343511,0.985386,0.910241
0.038175,0.323467,0.988682,0.912111
0.035238,0.317038,0.989739,0.916291
0.033894,0.314966,0.990361,0.915411
0.033782,0.328663,0.990112,0.914531
0.032227,0.318981,0.991325,0.916841
0.031094,0.317794,0.990920,0.914861
0.030184,0.323321,0.991449,0.916071
0.030127,0.334495,0.991511,0.912881
