train_loss,val_loss,train_accuracy,val_accuracy
0.734441,0.607945,0.770460,0.811242
0.429111,0.543832,0.860883,0.831592
0.384593,0.513376,0.873072,0.842372
0.360170,0.560661,0.881623,0.829722
0.354691,0.516090,0.882027,0.845232
0.334510,0.520209,0.888060,0.845122
0.340517,0.588275,0.886474,0.834012
0.285023,0.461632,0.904975,0.862501
0.275118,0.454222,0.908364,0.864151
0.273260,0.462067,0.908209,0.863711
0.270601,0.462440,0.907587,0.860631
0.272873,0.462044,0.906716,0.858871
0.269432,0.469022,0.908924,0.860631
0.267658,0.459933,0.909391,0.859861
0.285855,0.447248,0.905379,0.866131
0.214407,0.456309,0.928825,0.875151
0.179961,0.395711,0.941200,0.888461
0.160191,0.420111,0.945554,0.886041
0.134350,0.420223,0.955162,0.892201
0.124230,0.407326,0.959142,0.892531
0.107956,0.387139,0.963682,0.897151
0.067838,0.355363,0.978016,0.908261
0.058679,0.360945,0.981063,0.906831
0.057363,0.360260,0.981592,0.909691
0.057218,0.347313,0.981126,0.910571
0.053111,0.361557,0.982805,0.910791
0.052387,0.371403,0.983613,0.910461
0.050671,0.349191,0.983862,0.910571
0.046696,0.347096,0.984764,0.912331
0.047168,0.355053,0.985323,0.912771
0.047519,0.358608,0.984950,0.912001
0.045563,0.353334,0.985168,0.911451
0.044540,0.356231,0.986287,0.912001
0.043671,0.352151,0.985976,0.914311
